,pconv,score,value_per_conv,true_conv_rate,budget
8334,0.008253648,0.0011776829,0.14268634646997905,0.12859463521804643,1000.0
13411,0.0033197177,2.8600982e-05,0.00861548620312244,0.007534713209500203,1000.0
13505,8.66611e-15,9.9105296e-23,1.1435960592241122e-08,1.365209183904162e-08,1000.0
14108,0.022313757,0.00011450175,0.005131441937234113,0.004646126682339851,1000.0
14213,0.01982215,5.2324227e-05,0.0026396845953481074,0.003100967630226346,1000.0
14546,0.009324441,0.00028398316,0.030455782245042598,0.032115538664350185,1000.0
16007,0.004071779,7.044244e-06,0.0017300162571754559,0.001635877946302602,1000.0
17562,0.0016003303,6.025904e-07,0.00037654124442708733,0.00038526137382663254,1000.0
18997,0.009370982,1.49662455e-05,0.0015970841472907635,0.0015629586414671463,1000.0
19441,0.0018662446,3.304174e-06,0.0017704935982607636,0.0015653505448282423,1000.0
19442,0.0033421523,1.6844997e-05,0.0050401645539816095,0.0045685317409677444,1000.0
40582,0.0013288618,5.8474616e-06,0.004400353233264005,0.003703130709625313,1000.0
41142,0.0011452782,4.4096355e-06,0.003850274582426831,0.0034644916607822515,1000.0
42252,0.09793255,0.0018362687,0.018750341478184416,0.019003305856087928,1000.0
42300,0.003768721,1.8923853e-05,0.005021293280746788,0.005827087421672,1000.0
42388,0.00016210762,2.6152156e-07,0.001613258793902129,0.0014693976219667666,1000.0
42485,0.00044168992,4.0351514e-07,0.0009135710806062781,0.0009819858974037517,1000.0
42488,0.05178267,0.00022855979,0.004413827721732418,0.004468240504607357,1000.0
42517,0.0038513588,1.0347104e-05,0.002686611140646503,0.0031534156703856443,1000.0
42540,0.040853404,0.0010942888,0.02678574485501021,0.030070537970513234,1000.0
42569,0.00041630972,4.07755e-08,9.794510854853733e-05,0.00010047086908092346,1000.0
42580,0.00068329234,1.0462631e-05,0.015312084657048659,0.0141764642346549,1000.0
42593,0.00022340314,4.917284e-08,0.0002201080967841893,0.00019428664054385277,1000.0
42751,0.00022352459,5.565878e-07,0.0024900518486069096,0.0026074077471001035,1000.0
42838,0.01649629,0.00017413682,0.010556120584965162,0.009837966707980397,1000.0
42844,0.010082698,2.0877591e-05,0.002070635423927795,0.0023530929854233586,1000.0
42915,0.0010515573,9.205339e-06,0.008754006500457776,0.007852748509365553,1000.0
42943,0.0019838267,2.1844724e-05,0.011011407065864773,0.010176279011318979,1000.0
42993,0.0022779754,9.2297705e-06,0.004051742415535342,0.004119440014825516,1000.0
43013,0.007921245,6.6466246e-06,0.0008390884133420623,0.0009803364689223704,1000.0
43015,0.00093787914,8.277015e-06,0.008825246546506961,0.008268285068707642,1000.0
43102,0.0003996769,2.3608006e-06,0.005906772713706813,0.005756558527676142,1000.0
43247,0.010406557,2.9593204e-05,0.002843707450899055,0.0026983031063624453,1000.0
43249,0.10743391,0.0028835102,0.026839852615119196,0.026218913641306806,1000.0
43423,0.20815869,0.00052399054,0.002517264853635234,0.003098831429864298,1000.0
43633,1.2007722e-06,2.8841116e-10,0.0002401880837571348,0.00027114348652487513,1000.0
43662,0.0075477376,3.124358e-05,0.004139462842900716,0.0036267771645030443,1000.0
43787,0.003452132,5.624342e-05,0.016292372520677566,0.01978860081013625,1000.0
43789,6.866111e-05,6.822099e-10,9.935899476967525e-06,1.08300559365865e-05,1000.0
43813,0.0024718423,0.00018610766,0.07529107339173227,0.07361177813387486,1000.0
44002,0.001149967,2.3095376e-06,0.002008351254849318,0.00188449221952546,1000.0
44120,0.03060902,0.0003282648,0.010724447659452086,0.00952769187271262,1000.0
44126,0.002823457,1.39849e-05,0.0049531126265665104,0.006121870596852269,1000.0
44165,0.008039616,1.5277661e-05,0.001900297219982757,0.0017450830100427547,1000.0
44424,0.008777897,1.3763302e-05,0.0015679499168966054,0.0018136889725151822,1000.0
44584,0.2479722,0.0047479393,0.01914706330851406,0.02224011016382986,1000.0
44729,0.009650991,5.9736826e-06,0.0006189708730687421,0.0006325953898054719,1000.0
44736,0.015645146,2.3909832e-05,0.0015282588161085913,0.0016600595140415072,1000.0
44806,1.0108201e-05,1.1140683e-09,0.00011021429543607695,0.00011666282810033447,1000.0
44867,0.008002192,5.1585257e-06,0.0006446390797384302,0.0007609033089721649,1000.0
44923,0.000385315,1.745383e-07,0.00045297561021107253,0.00038934420115818713,1000.0
45363,0.047726486,0.00017339921,0.0036331862154003465,0.004008599651786829,1000.0
45432,0.019624751,9.146409e-05,0.004660649600753791,0.0041931156856325055,1000.0
45457,0.0009029636,1.7617771e-06,0.0019511051707265432,0.001991442636191973,1000.0
45459,0.11759704,0.0028591885,0.024313438459919755,0.028994399063502912,1000.0
45460,0.08573402,0.00091169437,0.01063398659039136,0.010825483813828841,1000.0
45461,0.021430098,0.00020261957,0.009454906473228263,0.010250525068647773,1000.0
45482,0.014187677,0.00029554084,0.020830811091349377,0.023923961258857426,1000.0
45488,0.0280404,4.129065e-05,0.0014725414208883447,0.0013345396008273976,1000.0
45783,4.362698e-05,3.958267e-09,9.072980179889094e-05,9.326308689169305e-05,1000.0
46536,0.0029675555,1.8253098e-06,0.0006150886880854282,0.0005950709836518195,1000.0
46729,0.0026119826,1.6957147e-06,0.000649205960082512,0.000778631927821764,1000.0
46975,0.0024501442,6.827278e-06,0.0027864800692348254,0.003412104139103758,1000.0
47009,0.00058992946,2.7696835e-08,4.694939968508067e-05,5.037789315148986e-05,1000.0
47068,0.0026336885,4.1079755e-05,0.015597802842215024,0.018538771554439067,1000.0
47086,9.068921e-05,2.7081226e-08,0.00029861575086399485,0.00034393338040858065,1000.0
47118,0.0019261498,0.000529221,0.27475590565678193,0.266126886177399,1000.0
47120,0.044686966,0.0020858187,0.04667622281739478,0.04503834935070243,1000.0
47170,0.0019124965,1.2913226e-06,0.0006752025638165948,0.0005705501522452478,1000.0
47191,0.00055080926,4.148758e-07,0.0007532113770536536,0.0006766825762632178,1000.0
47193,0.00028727503,1.295143e-07,0.00045083733573302064,0.0004532562135115081,1000.0
47205,9.8775035e-06,1.314289e-09,0.0001330588334791076,0.00011322897686296507,1000.0
47242,0.00048510314,4.6664164e-07,0.0009619431386948382,0.0009722531439631271,1000.0
47245,3.0378102e-05,4.3775064e-09,0.00014410072603495444,0.00015451046719955087,1000.0
47253,0.0005881321,1.3323366e-06,0.00226536963418647,0.0023221113917591017,1000.0
47259,0.00029700864,2.134524e-07,0.0007186740594908788,0.0006357040238295083,1000.0
47322,0.00031070915,1.9276085e-07,0.000620390000277714,0.0007246703239668061,1000.0
47362,0.0003288892,5.4120403e-07,0.0016455511851820757,0.0019510221438571202,1000.0
47381,0.0014696233,2.4166085e-05,0.01644372831593965,0.018020652280831863,1000.0
47386,0.0006833754,5.463402e-06,0.007994729983188223,0.007329249883097833,1000.0
47451,0.0027807741,8.845828e-06,0.003181066869479272,0.0037730761880186894,1000.0
47455,0.004485156,0.00010816617,0.02411647920922109,0.02703381750325254,1000.0
47462,0.00021416752,9.1612077e-07,0.004277589715952856,0.004185750221588819,1000.0
47465,0.010304909,0.003618715,0.3511641817697999,0.3102387576868887,1000.0
47548,0.00032779487,2.1927715e-08,6.689462412574768e-05,7.217373150672176e-05,1000.0
47586,0.0018575046,2.3253745e-06,0.0012518809157988874,0.001366134672048329,1000.0
47589,0.029652819,0.00018093156,0.006101664554943834,0.006761700990471277,1000.0
47663,0.00018924911,3.7880202e-08,0.0002001605294141187,0.00023117412746585735,1000.0
