imp_id,imp_campaign_id_sampled_from,user_id,campaign_id,campaign_value_per_conv,expected_value,bid,market_price,win,pconv,utility,budget_remaining,eligible_campaigns,chosen_score
1,47009,57,45488,500.0,491.1178648471832,442.0060783624649,466.2241260956446,False,0.9822357296943665,0.0,1000.0,88,491.11786
2,19441,59,47586,500.0,486.81366443634033,438.1322979927063,432.7764320630397,True,0.9736273288726807,54.03723237330064,567.2235679369603,88,486.81366
3,42252,86,45457,491.97731486304735,478.9793342226553,431.0814008003898,461.9983795282908,False,0.9735801219940186,0.0,1000.0,88,478.97934
4,44656,89,42569,500.0,490.393728017807,441.3543552160263,458.776203057177,False,0.980787456035614,0.0,1000.0,88,490.39374
5,47242,0,47663,500.0,461.7449939250946,415.57049453258514,381.8409104864142,True,0.9234899878501892,79.9040834386804,618.1590895135857,88,461.745
6,44729,70,42593,500.0,497.5040555000305,447.75364995002747,490.3459787386621,False,0.995008111000061,0.0,1000.0,88,497.50406
7,45460,59,47322,500.0,490.7900393009186,441.7110353708267,464.7806929993444,False,0.9815800786018372,0.0,1000.0,88,490.79004
8,47455,4,47170,500.0,474.2591083049774,426.8331974744797,451.25354589541524,False,0.9485182166099548,0.0,1000.0,88,474.2591
9,41142,51,47191,500.0,479.93332147598267,431.9399893283844,399.81347062168516,True,0.9598666429519653,80.11985085429751,600.1865293783148,88,479.93332
10,42569,47,42593,500.0,480.63597083091736,432.5723737478256,428.2800392246683,True,0.9612719416618347,52.355931606249044,571.7199607753316,88,480.63596
11,47663,5,43013,500.0,474.49150681495667,427.042356133461,416.0074129036977,True,0.9489830136299133,58.48409391125898,583.9925870963023,88,474.49152
12,43247,17,47205,500.0,496.6730773448944,447.00576961040497,485.15905206701404,False,0.9933461546897888,0.0,1000.0,88,496.67307
13,47589,66,17562,500.0,496.7077374458313,447.03696370124817,459.89956899392337,False,0.9934154748916626,0.0,1000.0,88,496.70773
14,43247,46,47322,500.0,456.466943025589,410.8202487230301,437.33964997146387,False,0.912933886051178,0.0,1000.0,88,456.46695
15,47548,76,47170,500.0,485.42317748069763,436.88085973262787,431.93660903963286,True,0.9708463549613953,53.486568441064776,568.0633909603671,88,485.4232
16,42388,89,43633,500.0,469.62299942970276,422.6606994867325,399.60360495806424,True,0.9392459988594055,70.01939447163852,600.3963950419358,88,469.623
17,42593,71,47663,500.0,486.7109954357147,438.03989589214325,442.82195877648553,False,0.9734219908714294,0.0,618.1590895135857,88,486.711
18,42593,51,47009,500.0,484.11044478416443,435.699400305748,397.6904883179227,True,0.9682208895683289,86.41995646624173,602.3095116820773,88,484.11044
19,17562,2,42388,500.0,477.105587720871,429.3950289487839,457.5316682652397,False,0.9542111754417419,0.0,1000.0,88,477.1056
20,47548,87,42569,500.0,494.66782808303833,445.2010452747345,456.92447089765716,False,0.9893356561660767,0.0,1000.0,88,494.66782
21,45459,27,43013,500.0,499.62568283081055,449.6631145477295,472.87362195440437,False,0.9992513656616211,0.0,583.9925870963023,88,499.62567
22,19441,55,47193,500.0,498.8097548484802,448.9287793636322,435.8672834523194,True,0.9976195096969604,62.94247139616084,564.1327165476806,88,498.80975
23,42488,93,42569,500.0,491.04949831962585,441.94454848766327,483.5490336607114,False,0.9820989966392517,0.0,1000.0,88,491.0495
24,47548,80,47193,500.0,484.8230183124542,436.3407164812088,470.64766682953365,False,0.9696460366249084,0.0,564.1327165476806,88,484.82303
25,45457,21,47170,500.0,481.9429814815521,433.7486833333969,457.89837839689505,False,0.9638859629631042,0.0,568.0633909603671,88,481.943
26,47009,41,13505,500.0,490.98101258277893,441.88291132450104,414.8961239684643,True,0.9819620251655579,76.08488861431465,585.1038760315357,88,490.98102
27,42993,8,44736,500.0,494.9944019317627,445.4949617385864,442.5298367043217,True,0.9899888038635254,52.46456522744097,557.4701632956783,88,494.99442
28,44002,39,44729,500.0,488.85655403137207,439.97089862823486,399.82828520475294,True,0.9777131080627441,89.02826882661913,600.171714795247,88,488.85657
29,44656,63,44736,500.0,496.75002694129944,447.0750242471695,416.16331750388906,True,0.9935000538825989,80.58670943741038,141.30684579178921,88,496.75003
30,40582,39,16007,500.0,499.56175684928894,449.60558116436005,466.0655473651804,False,0.9991235136985779,0.0,1000.0,88,499.56177
31,44584,93,47242,500.0,489.72612619400024,440.7535135746002,462.3294696158931,False,0.9794522523880005,0.0,1000.0,88,489.72614
32,14213,11,47205,500.0,493.1885898113251,443.86973083019257,485.3724146494062,False,0.9863771796226501,0.0,1000.0,88,493.1886
33,44729,71,43633,500.0,492.75681376457214,443.48113238811493,428.0324989068776,True,0.9855136275291443,64.72431485769454,172.36389613505816,88,492.7568
34,44729,87,47245,500.0,497.7576434612274,447.9818791151047,436.3755382527802,True,0.9955152869224548,61.38210520844723,563.6244617472198,88,497.75763
35,43813,70,42388,500.0,484.11649465560913,435.7048451900482,433.0519090830461,True,0.9682329893112183,51.06458557256303,566.9480909169539,88,484.1165
36,44806,27,47086,500.0,441.69268012046814,397.5234121084213,372.83493112958024,True,0.8833853602409363,68.8577489908879,627.1650688704198,88,441.6927
37,42300,50,47586,500.0,494.39680576324463,444.95712518692017,412.0233125710339,True,0.9887936115264893,82.37349319221073,155.2002553659264,88,494.39682
38,14546,7,46536,500.0,471.2454378604889,424.12089407444,422.0600843923077,True,0.9424908757209778,49.18535346818118,577.9399156076922,88,471.24545
39,47362,66,47170,500.0,490.3167486190796,441.28507375717163,417.18290814787673,True,0.9806334972381592,73.13384047120286,150.88048281249036,88,490.31674
40,47548,0,47322,500.0,486.2929582595825,437.66366243362427,452.5279454026706,False,0.972585916519165,0.0,1000.0,88,486.29297
41,42388,59,43013,500.0,497.7181553840637,447.94633984565735,442.3158262641649,True,0.9954363107681274,55.40232911989881,141.67676083213735,88,497.71817
42,43813,1,46729,500.0,492.4074113368988,443.1666702032089,472.65304788244134,False,0.9848148226737976,0.0,1000.0,88,492.4074
43,44806,14,19441,500.0,485.2469265460968,436.7222338914871,454.2142784348729,False,0.9704938530921936,0.0,1000.0,88,485.24692
