,pconv,score,value_per_conv,true_conv_rate,budget
8334,0.008253648,0.07121683,8.62852806838299,0.12859463521804643,1000.0
13411,0.0033197177,0.50378764,151.7561632634987,0.007534713209500203,1000.0
13505,8.66611e-15,5.317389e-07,61358431.29618622,1.365209183904162e-08,1000.0
14108,0.022313757,5.3043237,237.71540388561306,0.004646126682339851,1000.0
14213,0.01982215,5.441371,274.5096223426506,0.003100967630226346,1000.0
14546,0.009324441,0.27533546,29.5283606980478,0.032115538664350185,1000.0
16007,0.004071779,2.6322832,646.4700196139466,0.001635877946302602,1000.0
17562,0.0016003303,4.0598617,2536.889877703511,0.00038526137382663254,1000.0
18997,0.009370982,6.1265774,653.7818005517667,0.0015629586414671463,1000.0
19441,0.0018662446,1.3484651,722.5553870562183,0.0015653505448282423,1000.0
19442,0.0033421523,0.807082,241.4857023189803,0.0045685317409677444,1000.0
40582,0.0013288618,0.42641187,320.88503024463665,0.003703130709625313,1000.0
41142,0.0011452782,0.36738688,320.78397284367287,0.0034644916607822515,1000.0
42252,0.09793255,5.0848475,51.92193447619098,0.019003305856087928,1000.0
42300,0.003768721,0.5573224,147.881048364255,0.005827087421672,1000.0
42388,0.00016210762,0.12112361,747.1802362750511,0.0014693976219667666,1000.0
42485,0.00044168992,0.41845554,947.3966435922732,0.0009819858974037517,1000.0
42488,0.05178267,11.447925,221.0763551092976,0.004468240504607357,1000.0
42517,0.0038513588,1.0405341,270.17326327613443,0.0031534156703856443,1000.0
42540,0.040853404,1.2101789,29.622474346612112,0.030070537970513234,1000.0
42569,0.00041630972,4.0394197,9702.919627018837,0.00010047086908092346,1000.0
42580,0.00068329234,0.0520601,76.19008681731371,0.0141764642346549,1000.0
42593,0.00022340314,1.302685,5831.095320742708,0.00019428664054385277,1000.0
42751,0.00022352459,0.081868306,366.2608399757147,0.0026074077471001035,1000.0
42838,0.01649629,1.799202,109.06706979599673,0.009837966707980397,1000.0
42844,0.010082698,3.7705286,373.9602669512544,0.0023530929854233586,1000.0
42915,0.0010515573,0.14927821,141.95918151094858,0.007852748509365553,1000.0
42943,0.0019838267,0.21094467,106.33220160797106,0.010176279011318979,1000.0
42993,0.0022779754,0.5438943,238.7621391926,0.004119440014825516,1000.0
43013,0.007921245,6.9159346,873.0867680480428,0.0009803364689223704,1000.0
43015,0.00093787914,0.12107176,129.09099962648244,0.008268285068707642,1000.0
43102,0.0003996769,0.071241565,178.24789544990495,0.005756558527676142,1000.0
43247,0.010406557,4.0645313,390.5741076735338,0.0026983031063624453,1000.0
43249,0.10743391,4.194615,39.04367962391073,0.026218913641306806,1000.0
43423,0.20815869,54.566685,262.1398266451521,0.003098831429864298,1000.0
43633,1.2007722e-06,0.0039229584,3267.0298685067028,0.00027114348652487513,1000.0
43662,0.0075477376,2.375303,314.70398580819904,0.0036267771645030443,1000.0
43787,0.003452132,0.1436288,41.60582673707276,0.01978860081013625,1000.0
43789,6.866111e-05,5.816431,84712.16662947711,1.08300559365865e-05,1000.0
43813,0.0024718423,0.034345485,13.89469031812221,0.07361177813387486,1000.0
44002,0.001149967,0.6503338,565.5239141286127,0.00188449221952546,1000.0
44120,0.03060902,3.6161706,118.14069649860988,0.00952769187271262,1000.0
44126,0.002823457,0.37315655,132.16300744245686,0.006121870596852269,1000.0
44165,0.008039616,5.0167756,624.006843211373,0.0017450830100427547,1000.0
44424,0.008777897,4.1840515,476.65764346273767,0.0018136889725151822,1000.0
44584,0.2479722,9.599117,38.71045758062071,0.02224011016382986,1000.0
44729,0.009650991,14.927604,1546.7430303760154,0.0006325953898054719,1000.0
